subject_id,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mean,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mean,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mean,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mean,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max
50002,0.518071711063,4.61298179626,0.533637663199,67.1820602417,4.14654,4.16075,4.24736,4.03427,0.183876048131,0.464230534889,0.35189341698,1.00004136562,0.48486751318,0.0,0.00350259682435,91932.1328125,159283.53125,66811.6953125,176,256,256,2.17547809725,10.1358211367,9.94906627238,17.5358995832,9.56042964036,16.9553541281,16.8156015003,23.9310207324,1.05000007153,1.05078125,1.05078125,0.744005519359,9.21969223022,0.0,21.0,6.47344875336,51.1957267287,124.774894714,64.0,187.0,55.2769317627,-0.0240910187307,202.040405273,146.0,276.0,38.5052833557,-0.38189443169,307.351196289,233.0,374.0,42.9449653625,0.246572194701,0.566274119558,0.605863381763,0.684095860566
50003,0.690521657467,4.00376319885,0.518231566411,76.7580032349,4.18693,4.06582,4.37521,4.12611,0.168196408372,0.435861849363,0.395941742265,1.07454586029,0.589745908976,0.0,0.00532695120023,83887.59375,142714.890625,83975.53125,176,256,256,1.96896335098,10.5842368879,8.8217577247,13.9120729352,8.98664889947,14.3962951414,14.2531998007,19.3766553612,1.05000007153,1.05078125,1.05078125,2.84868831313,8.50054931641,0.0,21.0,6.96963500977,42.4106233962,134.750167847,65.0,204.0,68.2266769409,-0.349325554496,205.688156128,142.0,285.0,42.6352615356,-0.504932179142,301.003814697,218.0,373.0,48.0032958984,0.24192950746,0.559496605631,0.621025070085,0.697727272727
50004,0.508978903294,6.67576265335,0.496399254188,52.774471283,4.21527,4.2641,4.29479,4.08984,0.184723524966,0.461309389706,0.353967085328,0.896745085716,0.40642209053,0.0,0.00568289016907,82561.625,159065.140625,64006.5859375,176,256,256,1.87703702202,9.1704701857,9.88362522449,18.6033684657,10.6397918126,19.0854950385,19.103537639,27.585326066,1.05000007153,1.05078125,1.05078125,0.0127541975071,7.55214881897,0.0,18.0,5.92660284042,58.929060504,123.817192078,61.0,186.0,64.6332168579,0.0591405351203,202.694442749,143.0,275.0,39.0801277161,-0.350644025982,311.130187988,236.0,377.0,43.2008399963,0.248888695666,0.571247549064,0.620498456484,0.710467706013
50005,0.598016321659,5.58495426178,0.489108684059,97.6458435059,3.78392,3.81243,3.8114,3.72854,0.182929051221,0.478911579536,0.338159369243,1.09512174129,0.488990688324,0.0,0.000455372404909,82094.84375,129049.085938,71119.5546875,176,256,256,1.83837928694,10.820702473,9.2492722868,15.0887351004,9.90359127406,17.50560529,17.3414940654,24.6152856323,1.05000007153,1.05078125,1.05078125,0.297094093689,7.86019945145,0.0,19.0,6.16819429398,50.6678192363,134.109436035,68.0,201.0,68.6289825439,0.0559896830645,213.771209717,156.0,290.0,39.4757537842,-0.533183744615,318.781860352,241.0,389.0,45.9708824158,0.243673061749,0.569076504017,0.593349517682,0.693790149893
50006,0.49069583416,10.8840923309,0.440642576363,214.74067688,4.00015,4.02643,4.03461,3.9401,0.138663945658,0.526138077455,0.335197976887,0.818043589592,0.422689077258,0.0,0.00771222401658,75234.6328125,120450.976562,68230.6171875,176,256,256,1.22062571339,9.9130006699,9.45272864101,17.2245595398,11.5110418609,18.6995865085,19.1264607944,27.1687540138,1.05000007153,1.05078125,1.05078125,0.0475521578748,6.53831768036,0.0,17.0,5.70024681091,35.4971188244,134.752151489,61.0,267.0,97.8603591919,0.00256730182881,204.201324463,134.0,278.0,41.8445129395,-0.107806234426,317.198547363,234.0,384.0,46.7636260986,0.19085798989,0.574298842713,0.600189829071,0.702839926049
50007,0.616477906704,4.20312738419,0.536165405548,68.5891571045,4.12437,4.07928,4.28034,4.018,0.178030477587,0.442302484788,0.379667037625,1.0471830368,0.563267233968,2.1785179838e-05,0.00402166425543,107631.820312,175198.671875,92252.3515625,176,256,256,2.03719861541,9.56995139304,8.72542728858,14.5691318573,9.23045322296,16.4000746378,16.2021417995,22.9758975378,1.05000007153,1.05078125,1.05078125,6.24365270221,9.66668224335,0.0,21.0,6.73883867264,50.4889655929,122.705528259,60.0,188.0,65.262840271,-0.179766215682,195.134933472,136.0,273.0,40.9088401794,-0.501673713914,297.447662354,215.0,372.0,47.8131523132,0.240394894811,0.540007454957,0.595515583865,0.635983263598
50008,0.538715958595,6.13248157501,0.492726984564,89.5334320068,4.10877,4.04406,4.20331,4.08063,0.208097703936,0.421907832443,0.369994463621,0.911955654621,0.398784154654,0.0,0.0013090989017,81634.609375,143219.125,60626.125,176,256,256,2.28062208717,9.27712740047,10.3915554099,19.616916742,9.26062030576,17.2371236431,16.9237895969,24.2736248418,1.05000007153,1.05078125,1.05078125,0.430339780837,7.5432100296,0.0,19.0,6.2781624794,53.6374203898,123.318534851,62.0,186.0,60.134513855,-0.0974211526149,209.015197754,146.0,279.0,39.129940033,-0.284768485386,313.902770996,240.0,377.0,42.2100715637,0.247684618584,0.53995994936,0.608068659527,0.682875264271
50009,0.591680526733,4.20626878738,0.532448644999,89.5593261719,3.8826,3.82091,4.00272,3.82689,0.183944735622,0.430315206778,0.385740057601,1.08265197277,0.433912226558,0.0,0.00345140817958,80152.59375,146568.546875,71264.9765625,176,256,256,1.49030639692,9.59494837146,9.57900650699,17.6517647526,7.730651009,17.490663367,16.4717300937,24.1938759052,1.05000007153,1.05078125,1.05078125,0.878790360931,9.16830444336,0.0,20.0,6.30620622635,56.7077439939,117.166915894,58.0,181.0,66.5044174194,-0.166164814625,201.014831543,147.0,269.0,35.9958457947,-0.293905106747,295.476074219,227.0,359.0,39.4845237732,0.24413627498,0.533744403654,0.607370748523,0.631027253669
50010,0.555227339268,10.948633194,0.423802089328,232.399917603,3.97043,3.95872,4.02528,3.92792,0.199418831395,0.444490968426,0.35609020018,0.914322316647,0.301079195738,0.0,0.00242659675076,58064.4960938,103340.320312,43132.71875,176,256,256,1.55740012076,8.9709959475,9.88515044048,19.1270552532,9.51284390254,17.1015609525,16.9557886156,24.2529609916,1.05000007153,1.05078125,1.05078125,0.880618655841,5.70061349869,0.0,16.0,5.54424285889,43.9130415733,120.749671936,55.0,177.0,70.4342727661,-0.302399582922,200.974029541,145.0,263.0,34.9263839722,-0.398751991853,299.889923096,238.0,351.0,35.1190567017,0.236944213994,0.558092785447,0.608290315259,0.728132387707
50011,0.57330518961,3.86730408669,0.545368873249,89.1741256714,3.80412,3.8036,3.85074,3.75859,0.196198540405,0.460964463054,0.342836996541,1.133690238,0.574712157249,0.0,0.00426489585709,101614.65625,156664.296875,78685.109375,176,256,256,1.34376726024,10.2652200822,9.13172431214,15.786185594,6.80800010817,15.0529069596,14.2989615035,21.0359774429,1.05000007153,1.05078125,1.05078125,2.37433672396,12.0466651917,0.0,26.0,8.05502700806,52.4690962735,139.171554565,67.0,218.0,84.0128631592,-0.214441869852,234.315841675,165.0,324.0,47.2694702148,-0.383353017722,351.790313721,259.0,438.0,53.6883354187,0.24804409161,0.536525120259,0.579185886148,0.553488372093
