	CALTEC	CMU	KKI	MAX_MUN	NYU	LEUVEN_1	LEUVEN_2	OHSU	OLIN	PITT	SBL	SDSU	STANFORD	TRINITY	UCLA_1	UCLA_2	UM_1	UM_2	USM	YALE	DS030
Vendor	Siemens	Siemens	Philips	Siemens	Siemens	Philips	Philips	Siemens	Siemens	Siemens	Phillips	GE	GE	Philips	Siemens	Siemens	GE	GE	Siemens	Siemens	
Model	Magnetom TrioTim	Magnetom Verio	Achieva 3T	Magnetom Verio	Magnetom Allegra	Intera 3T	Intera 3T	Magnetom TrioTim	Magnetom Allegra	Magnetom Allegra	Intera 3T	MR750 3T	Signa 3T	Achieva 3T	Magnetom TrioTim	Magnetom TrioTim	Signa 3T	Signa 3T	Magnetom Allegra	Magnetom TrioTim	
Version	Syngo MR B17	Syngo MR B17		Syngo MR B17	Syngo MR 2004A			Syngo MR B17	Syngo MR 2004A	Syngo MR A30					Syngo MR B15	Syngo MR B15			Syngo MR A30	Syngo MR B17	
TR (sec)	1.59	1.87	8.00E-03	1.8	2.53	9.60E-03	9.60E-03	2.3	2.5	2.1		1.11E-02	8.40E-03	8.50E-03	2.3	2.3			2.1	1.23	
TE (sec)	2.73E-03	2.48E-03	3.70E-03	3.06E-03	3.25E-03	4.60E-03	4.60E-03	3.58E-03	2.74E-03	3.93E-03		4.30E-03	1.80E-03	3.90E-03	2.84E-03	2.84E-03	1.80E-03	1.80E-03	3.93E-03	1.73E-03	
TI	0.8	1.1		0.9	1.1	0.88514	0.88514	0.90	0.9	1		0.6		1.06	0.853	0.853			1	6.24E-01	
FA (deg)	10	8		9	7	8	8	10	8	7	8	8	15	8	9	9	15	15	7	9	
PE Dir	AP	AP		AP	AP	RL	RL	AP	RL	AP				AP	AP	AP	AP	AP	AP	AP	
Seq. name			MPRAGE			3D TFE	3D TFE	MPRAGE	MPRAGE	MPRAGE		Fast SPGR			MPRAGE	MPRAGE	Fast SPGR	Fast SPGR	MPRAGE	MPRAGE	
Scan Time						6:22	6:22		7:37	8:59	4:11			7:29	9:14	9:14			8:59	8:34	
Orientation	Sagittal	Sagittal		Sagittal	Sagittal	Coronal	Coronal	Sagittal	T > S-1.2	Sagittal		Sagittal		Sagittal	Sagittal	Sagittal	Axial	Axial	Sagittal	Sagittal	
Slice Thickness	1	1		1	1.33	0.98	0.98	1.1	1	1.05		1	1.5	1	1.2	1.2	1.2	1.2	1.05	1	
Averages	1	1		1	1			1	1	1				1	1	1			1	3	
